1;00.743;;;;;;;;;;;;;;;;;;;;
6;01.064;;????? ?????????;??????;?????;t;n;w;n/N;p;P;????;1,463;;;;;;;;
;01.311;;;;;;;;;;;;;;;;;;;;
;01.312;;;;;;;;;;;;;;;;;;;;
;01.312;;;;;;;;;;;;;;;;;;;;
;01.312;;;;;;;;;;;;;;;;;;;;
;01.313;;;;;;;;;;;;;;;;;;;;
;01.313;;;;;;;;;;;;;;;;;;;;
;01.319;;;;;;;;;;;;;;;;;;;;
;01.321;;;;;;;;;;;;;;;;;;;;
;01.344;;;;;;;;;;;;;;;;;;;;
;01.344;;;;;;;;;;;;;;;;;;;;
;01.344;;;;;;;;;;;;;;;;;;;;
;01.344;;;;;;;;;;;;;;;;;;;;
;01.344;;;;;;;;;;;;;;;;;;;;
;01.344;;;;;;;;;;;;;;;;;;;;
;01.344;;;;;;;;;;;;;;;;;;;;
;01.345;;;;;;;;;;;;;;;;;;;;
;01.345;;;;;;;;;;;;;;;;;;;;
;01.345;;;;;;;;;;;;;;;;;;;;
;01.345;;;;;;;;;;;;;;;;;;;;
;01.346;;;;;;;;;;;;;;;;;;;;
;01.347;;;;;;;;;;;;;;;;;;;;
;01.350;;;;;;;;;;;;;;;;;;;;
;01.350;;;;;;;;;;;;;;;;;;;;
;01.352;;;;;;;;;;;;;;;;;;;;
;01.352;;;;;;;;;;;;;;;;;;;;
;01.353;;;;;;;;;;;;;;;;;;;;
;01.379;;;;;;;;;;;;;;;;;;;;
;01.380;;;;;;;;;;;;;;;;;;;;
;01.380;;;;;;;;;;;;;;;;;;;;
;01.381;;;;;;;;;;;;;;;;;;;;
;01.386;;;;;;;;;;;;;;;;;;;;
;01.419;;;;;;;;;;;;;;;;;;;;
;01.419;;;;;;;;;;;;;;;;;;;;
;01.420;;;;;;;;;;;;;;;;;;;;
;01.423;;;;;;;;;;;;;;;;;;;;
;01.463;;;;;;;;;;;;;;;;;;;;
